topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Albania,-0.21754645213073617,1.0,-0.2557192808399757,1.0,1.0
Algeria,0.19707872527010964,0.606296271003918,-0.27725490157182797,0.7237644181061783,7.0
Argentina,-1.0298418562909153,1.0,-0.1600171439641008,1.0,1.0
Armenia,0.5100525632813011,1.0,-0.3636465309499899,1.0,1.0
Australia,0.38045245292820323,0.8198926562080265,0.04518277781734554,0.9461831497983577,25.0
Austria,-0.18786390354309823,0.8359442903844603,-0.11301820214808213,0.681571964670099,4.0
Azerbaijan,-0.9020695059250801,1.0,-0.05517610867683973,1.0,1.0
Bahrain,-0.148938403353865,0.6924956863200611,-0.22986017938338604,0.13666433609165807,2.0
Bangladesh,-1.5709831221432369,0.9186603218931972,-0.44421943739072917,0.5681828995883286,3.0
Belarus,-0.7036676671833639,0.060126799536155025,-0.8427313011477668,0.3900753500652657,2.0
Belgium,-0.018719490618032474,0.8649269820205863,-0.16483179355656033,1.1572510186559657,61.0
Benin,-0.679695465790919,1.0,-0.05517610867683973,1.0,1.0
Bhutan,1.8559764268816998,0.37477892881566627,-0.23065946614316016,0.07903710477821756,2.0
Botswana,0.085378847418393,1.0,-0.6598417349455619,1.0,1.0
Brazil,-0.06631309676248072,0.8301486686992282,-0.19182113509011975,0.9048412898971615,10.0
British Virgin Islands,0.5576760109506107,0.9738347272650645,-0.27352286524088204,0.16024173004296763,3.0
Bulgaria,0.18898150427011856,0.8729625486170804,0.05607644156100455,0.7237429043338315,8.0
Burkina Faso,-1.152036084218058,1.5707300646749116,-0.0628101516499047,0.1922943391772265,2.0
Cabo Verde,0.7727729482499305,1.0,-0.48228900105504774,1.0,1.0
Cambodia,-1.279644425304706,1.0,0.28815526927514734,1.0,1.0
Cameroon,0.39336572169803213,1.1580127556955195,0.2321599735197463,1.0599925054621333,5.0
Canada,0.07547238893255512,1.1091988453291055,-0.23687386757737777,0.2832400288946059,5.0
Chile,1.0216847751987461,0.6870277520118495,0.5125612457040608,0.6378808915042626,6.0
China,0.13198741782328707,1.0223444429602837,-0.03739060976847738,0.6127007934471177,37.0
Colombia,0.8622366197610817,1.0,2.0003871586562343,1.0,1.0
Costa Rica,-0.6146063352039076,1.0,-0.7894855263620312,1.0,1.0
Croatia,-0.038409890009946324,0.8417519629189246,-0.36108228543580645,0.32658928114406033,10.0
Cuba,-0.8445940789796345,1.45267762150501,0.3002030574799517,0.822852226346999,7.0
Cyprus,1.1738951316515118,1.0,-0.1765593639560416,1.0,1.0
Czechia,0.13654043527254922,1.0066093328992165,-0.04878678090807395,0.06906572873235185,2.0
Democratic Republic of the Congo,-0.4498696192172936,1.5145770400850491,-0.41959914397546944,0.2461234734487106,4.0
Denmark,0.189567079493157,0.46708360475748684,-0.07719684894841357,0.20788574525683204,7.0
Djibouti,0.6315519618163433,0.9422370230228003,-0.3653405101824392,0.5382536771859953,4.0
Ecuador,-1.3408752028400797,0.7311182249064978,-0.16721011277542308,0.7852983813663146,2.0
Finland,0.48642342131852384,2.2174761391553273,0.7168300829254933,1.7219541601505588,3.0
France,0.09016504270387683,1.0752439453427272,0.10081250987660811,1.382980384980115,166.0
Georgia,1.100071862836475,1.0,-0.14421103728013707,1.0,1.0
Germany,-0.00473508926550329,0.6661403118243225,0.045256467247806506,0.7031303914521587,13.0
Ghana,0.8445702326512219,0.202004415824459,-0.039628220792141566,0.22030267951717583,2.0
Greece,-0.1933837489567853,0.8022528430217545,0.33135599249228936,2.0316536605773234,18.0
Greenland,0.4563809953425364,0.7733280654927644,0.43831658811084134,1.7234174256523493,24.0
Grenada,-0.6370960614336153,0.878967447055403,-0.12946709931822936,0.527539938836861,5.0
Guadeloupe,-0.131220717011387,0.9786775922395435,0.12312953465941107,1.4414410194030294,17.0
Guinea,-0.24849564845884556,1.0,0.2577394260798514,1.0,1.0
Guyana,-0.6048683340309148,0.8776669704004236,0.20716035966960658,0.45802001659151503,3.0
Hungary,0.32738342990280916,1.1846134812189932,0.11238152482114051,0.6482551694096702,24.0
Iceland,0.6780614524295193,1.0,0.16381210054778075,1.0,1.0
India,0.46559243638228576,0.634055533023247,-0.3033707729857167,0.2757455975349644,4.0
Indonesia,0.06045269063002709,1.2453529747322967,0.4496676279272629,1.272508659396815,11.0
Iran,0.05178140005118027,0.8420574547957655,-0.11085702344346261,0.5006719848804906,71.0
Iraq,-0.24415318794748933,0.568005907785464,-0.2555317054188218,0.4810304151771575,16.0
Ireland,-0.05071717678175083,0.8431372230646063,0.08443963377584246,0.976297946858456,17.0
Israel,0.04161895176690172,1.0542275472641638,0.024273943279845427,0.895023527487995,266.0
Italy,0.22027256468956438,1.0442003090012975,0.05698457639753339,0.7423160637112002,18.0
Jamaica,-0.6727102959811799,1.245465443648915,-0.40335325211987255,0.5149263592507943,6.0
Japan,0.12075903204097288,1.1649367897960023,0.3925964185595945,1.0340564951075986,9.0
Kenya,-1.1618839314021085,0.5682317362512312,-0.0070162412402573066,0.12435589405922441,2.0
Kuwait,0.4544344771576727,0.9488550743504489,0.5575787155061817,1.752603473603453,16.0
Lebanon,-0.14790229880260936,0.9289177069310959,-0.134762291324604,0.4560560950488883,56.0
Libya,-0.002013045767746166,0.6673534669978534,0.48312978774399057,1.6399297617000708,9.0
Liechtenstein,0.3213478361247466,1.1422720349668134,-0.40319492455304456,0.7306435195319518,3.0
Madagascar,1.5741634397747413,1.0,-0.05868976888578337,1.0,1.0
Maldives,-0.5217797590314455,1.0,-0.30620669310613924,1.0,1.0
Mali,-0.3184329433488035,0.674274503585961,-0.11436921258483866,0.314559596240572,15.0
Martinique,-0.27383557941572273,1.0,-0.32390430355524347,1.0,1.0
Mauritania,-0.3074530697507405,0.9319013037877989,-0.2992265746140419,0.5236326257507986,17.0
Mexico,0.1978998791740715,0.9799608510114021,0.14251080756639803,0.6768747557490373,15.0
Monaco,-0.40478443094846384,1.0,-0.3128580861589432,1.0,1.0
Montenegro,0.5284278821568398,1.0,-0.49935146599817537,1.0,1.0
Montserrat,-0.27754051940088026,1.0,-0.5407963750848623,1.0,1.0
Morocco,-0.6209000695699631,0.07310911149124895,-1.1214948157492,1.6972667483689405,2.0
Nepal,-0.1184219696958543,1.1376619993298196,-0.13385913123870122,0.17731809334819537,8.0
New Zealand,-0.5186498705419901,0.8720360858873564,-0.16321174120585488,0.9867646133146784,6.0
Niger,-0.4509682145958797,0.9037016014348868,-0.08549212116428101,0.6889979587638261,13.0
Nigeria,0.08598254655158621,1.2044076790651197,-0.20098348503154295,0.7794382405134923,12.0
North Korea,-0.14814177070125664,0.9356072559846945,-0.2791690157628547,0.2767888410868186,6.0
Norway,0.08564742845841854,0.9587889243195005,0.16391910252355438,1.1442848836391661,27.0
Oman,0.21962258886644065,0.7981960001945906,0.3113512796801845,0.0006089935394123904,2.0
Pakistan,0.15557976183707728,0.8579500351574133,-0.05366125141209215,0.2527934894760008,7.0
Palestinian Territory,-0.2456682128434242,0.896222563679287,-0.0013088254689302581,0.8624556115077859,38.0
Panama,0.3705975782992263,0.6165316424054262,-0.2036477059876251,1.0210949956322841,2.0
Papua New Guinea,-0.47356678383940665,1.0,-1.9479496765958337,1.0,1.0
Poland,-0.217730682534939,0.6783730829561603,-0.1125675395515208,0.28126485542805635,5.0
Portugal,0.41468362839564094,0.7738809765573776,0.5381582089214181,0.8956200714513255,6.0
Puerto Rico,0.4255959472647435,0.7474565330398237,-0.12461693807644054,0.2818607964372683,4.0
Qatar,0.8725343507833049,1.3943401684501544,0.37014614364674103,0.5219319430590545,5.0
Reunion,-0.10721652946982554,1.1706842494122605,0.08441597112328998,0.6456453031675381,10.0
Russia,-0.03351408418372298,0.9215493140643308,-0.09454511803998038,0.6061802041735113,142.0
Rwanda,-0.2059477624613618,0.83853372523476,-0.25222449048294615,0.516535145912063,22.0
Saint Barthelemy,1.4807763782068122,1.0,-1.2709929104419198,1.0,1.0
Saint Pierre and Miquelon,0.05567100401970822,1.8425106888146725,1.792644885394013,4.032576711104094,5.0
Saudi Arabia,0.14796945245336407,1.1122990944916453,0.5795830520785392,2.2478634617727478,16.0
Senegal,-0.1554881614924496,0.2506750498401273,-0.09827400293343658,0.15134206697472952,3.0
Serbia,-0.03924265375012203,0.9084393116996685,-0.19773318507334106,0.6308495068509108,13.0
