,phrase,label,sentiment,subjectivity,language,count
Etat français,Etat français,LOC,0.10200000000000002,0.16,fr,1
musée Guimet,musée Guimet,LOC,-0.248,0.26,fr,1
Premier ministre de centre gauche,Premier ministre de centre gauche,LOC,0.11615384615384614,0.17692307692307693,fr,1
Texticules,Texticules,LOC,-0.03833333333333334,0.125,fr,1
Taejon,Taejon,LOC,-0.095,0.2625,fr,1
Ladoption,Ladoption,LOC,-0.205,0.21666666666666665,fr,1
Qom,Qom,LOC,0.066,0.12000000000000002,fr,1
P,P,LOC,0.12125,0.16874999999999998,fr,1
État grec,État grec,LOC,0.08857142857142859,0.11357142857142859,fr,1
El Tiempo,El Tiempo,LOC,-0.032,0.06999999999999999,fr,1
Lavion,Lavion,LOC,-0.032,0.06999999999999999,fr,1
National,National,LOC,-0.0375,0.05,fr,1
Alimentation,Alimentation,LOC,-0.0375,0.05,fr,1
enregis,enregis,LOC,0.07857142857142858,0.17857142857142858,fr,1
Calmos,Calmos,LOC,0.1075,0.25625,fr,1
Édito,Édito,LOC,0.1075,0.25625,fr,1
essaims,essaims,LOC,0.08374999999999999,0.23750000000000002,fr,1
Alexandrie,Alexandrie,LOC,0.043333333333333335,0.18333333333333335,fr,1
Moudawana,Moudawana,LOC,-0.03125,0.275,fr,1
dAtacama,dAtacama,LOC,0.14116666666666666,0.2687500000000001,fr,1
Santiago,Santiago,LOC,0.14116666666666666,0.2687500000000001,fr,1
U17,U17,LOC,0.105,0.10000000000000002,fr,1
Tubi,Tubi,LOC,0.105,0.10000000000000002,fr,1
Chil,Chil,LOC,0.14116666666666666,0.2687500000000001,fr,1
Israël Face,Israël Face,LOC,-0.006666666666666664,0.19999999999999998,fr,1
International,International,LOC,0.14166666666666666,0.20000000000000004,fr,1
Fos,Fos,LOC,0.07375000000000001,0.17500000000000002,fr,1
théâtre de la Révolution de la dignité,théâtre de la Révolution de la dignité,LOC,0.03461538461538463,1.534615384615385,fr,1
Norvégien Johan,Norvégien Johan,LOC,-0.09666666666666666,0.06666666666666667,fr,1
Bergen,Bergen,LOC,0.09285714285714286,0.18571428571428575,fr,1
parc national de Hallingskarvet,parc national de Hallingskarvet,LOC,0.09285714285714286,0.18571428571428575,fr,1
Fernando,Fernando,LOC,0.13399999999999998,0.25999999999999995,fr,1
LaLa Havane,LaLa Havane,LOC,0.13399999999999998,0.25999999999999995,fr,1
AthènesAthènes,AthènesAthènes,LOC,0.04499999999999999,0.23333333333333336,fr,1
Greenlog,Greenlog,LOC,0.16499999999999998,0.1,fr,1
Sulc,Sulc,LOC,-0.5,0.4,fr,1
Akliouche,Akliouche,LOC,-0.5,0.4,fr,1
Balogun,Balogun,LOC,-0.5,0.4,fr,1
Monégasques,Monégasques,LOC,-0.5,0.4,fr,1
Hanne,Hanne,LOC,-0.09666666666666666,0.06666666666666667,fr,1
place Maïdan,place Maïdan,LOC,0.03461538461538463,1.534615384615385,fr,1
Stijn Desmet,Stijn Desmet,LOC,-0.09666666666666666,0.06666666666666667,fr,1
mEric Perrot,mEric Perrot,LOC,-0.09666666666666666,0.06666666666666667,fr,1
LultimatumLultimatum,LultimatumLultimatum,LOC,-0.00875,0.22499999999999998,fr,1
Drômois,Drômois,LOC,0.17000000000000004,0.2625,fr,1
Nîmes,Nîmes,LOC,0.0325,0.17500000000000002,fr,1
Bouchemaine,Bouchemaine,LOC,0.16499999999999998,0.1,fr,1
logisticien Greenlog,logisticien Greenlog,LOC,0.16499999999999998,0.1,fr,1
Stade de France,Stade de France,LOC,0.14166666666666666,0.20000000000000004,fr,1
l'Afrique du Sud,l'Afrique du Sud,LOC,0.16199999999999998,0.09,fr,1
l'Afrique,l'Afrique,LOC,0.16199999999999998,0.09,fr,1
La Vanguardia,La Vanguardia,LOC,-0.013124999999999996,0.06458333333333334,fr,1
Costa Ri,Costa Ri,LOC,-0.007500000000000007,0.095,fr,1
Bruxellois,Bruxellois,LOC,0.048125,0.194375,fr,1
Tallinn,Tallinn,LOC,0.15,0.1,fr,1
Staninlas,Staninlas,LOC,0.13571428571428573,0.2785714285714286,fr,1
Ascq,Ascq,LOC,0.075,0.10500000000000001,fr,1
Villeneuve,Villeneuve,LOC,0.075,0.10500000000000001,fr,1
Résurgence,Résurgence,LOC,-0.022222222222222227,0.1,fr,1
Musango,Musango,LOC,0.09000000000000001,0.18333333333333335,fr,1
OLIVIER LABAN,OLIVIER LABAN,LOC,0.04285714285714286,0.05714285714285715,fr,1
Hargeisa,Hargeisa,LOC,0.15428571428571428,0.12714285714285714,fr,1
Toulouse,Toulouse,LOC,0.14125,0.06875,fr,1
République autoproclamée,République autoproclamée,LOC,0.15428571428571428,0.12714285714285714,fr,1
Poitiers,Poitiers,LOC,0.14125,0.06875,fr,1
Somalidand,Somalidand,LOC,0.15428571428571428,0.12714285714285714,fr,1
Sinners,Sinners,LOC,0.37555555555555564,0.35555555555555557,fr,1
lédition,lédition,LOC,0.13909090909090907,0.0818181818181818,fr,1
Ukra,Ukra,LOC,0.0842857142857143,0.16428571428571428,fr,1
Bakou,Bakou,LOC,0.125,0.025,fr,1
Oural,Oural,LOC,0.2966666666666667,3.225,fr,1
Rançongiciels,Rançongiciels,LOC,0.21181818181818182,0.2090909090909091,fr,1
Lenta,Lenta,LOC,0.0842857142857143,0.16428571428571428,fr,1
Days of Ash »,Days of Ash »,LOC,0.3,0.2777777777777778,fr,1
Douala,Douala,LOC,0.1281818181818182,0.11363636363636363,fr,1
Nuñez,Nuñez,LOC,0.1281818181818182,0.11363636363636363,fr,1
Ru,Ru,LOC,-0.1,0.15,fr,1
Orange,Orange,LOC,0.1281818181818182,0.11363636363636363,fr,1
Damoclès,Damoclès,LOC,0.13571428571428573,0.2785714285714286,fr,1
Bobigny,Bobigny,LOC,0.14875,0.39375000000000004,fr,1
Géorgie,Géorgie,LOC,0.176,0.19999999999999998,fr,1
Salon international de lautomobile,Salon international de lautomobile,LOC,0.1842857142857143,0.2571428571428572,fr,1
État ukrainienne,État ukrainienne,LOC,-0.088,0.08,fr,1
veni,veni,LOC,0.12428571428571429,0.12857142857142856,fr,1
Taïwan,Taïwan,LOC,0.13333333333333333,0.09999999999999999,fr,1
Kirkouk,Kirkouk,LOC,0.01714285714285715,0.16428571428571434,fr,1
Arn,Arn,LOC,0.01714285714285715,0.16428571428571434,fr,1
Brabançon,Brabançon,LOC,0.007857142857142865,0.12142857142857144,fr,1
Iranien,Iranien,LOC,0.007857142857142865,0.12142857142857144,fr,1
SYUFLANA,SYUFLANA,LOC,0.1842857142857143,0.2571428571428572,fr,1
