keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Abou Dhabi',0.16224177682458774,0.6174013232226488,-0.9160539037854271,1.0376015694818603,2.0
'Afrique du Sud',0.8624756505668062,0.9946346820319116,0.3340729312220663,0.552751889649568,5.0
'Albanie',0.8721203149275879,1.1124944603548428,-0.5448903607467118,1.280059670129615,7.0
'Alger',-0.46778942394624023,1.0343028009721877,-0.23937206306202805,0.5797233685296527,15.0
'Algérie',-0.1363417811491981,0.4854292734326491,-0.0176122357822324,0.935536479837546,13.0
'Allemagne',0.06022851980792918,0.7766005463283613,-0.11773442194872813,0.6393731511259789,16.0
'Amsterdam',0.6786182841081889,1.0,-0.8938737531050003,1.0,1.0
'Ankara',-0.2989923217295238,1.0,2.613467398645865,1.0,1.0
'Antananarivo',1.6439554807768855,1.0,1.3147580183731258,1.0,1.0
'Arabie Saoudite',-0.03811175367266706,0.9458486938226586,-0.5806954997051755,0.5901179235515244,3.0
'Arabie saoudite',-0.39843729971595926,0.43502909320052413,1.1581627141055169,3.157659348163626,6.0
'Argentine',-0.964233210118655,0.5243232361597875,-0.837909526840248,1.148114407180928,2.0
'Arménie',-0.16337754484454403,0.9529701368580707,-0.242826126000049,0.14854688347943343,2.0
'Asie',0.20411532409257196,0.9608705237091523,-0.1500447029102665,0.5787670244106378,19.0
'Athènes',-0.22979517490280157,1.2516099252122017,0.21300894933265976,0.5092736616468797,6.0
'Australie',0.46622713824940143,0.7964613386209567,-0.006236013378000529,0.45354605248082613,9.0
'Autriche',0.43214924682262107,1.1121065601200126,0.268789530237725,0.6955356251430256,4.0
'Azerbaïdjan',-0.12948763322383122,1.065056755236968,-0.2641508207594534,0.27644653940703096,2.0
'Bagdad',0.30216221834996326,1.0119067201798326,-0.29671508722005646,0.2882764455839207,2.0
'Bakou',0.9461871904588023,1.217053714443148,0.608886129113303,2.0260329900208753,5.0
'Bamako',-0.5945210993488965,1.0978972290720463,-0.47697082009547415,0.6413739914127429,3.0
'Belgique',0.012683094971330081,0.8151032035981716,-0.0028551458177498708,1.5256374692507935,38.0
'Berlin',-0.5542280248872429,0.5604771733000237,0.138352229552337,0.8602211708018623,4.0
'Beyrouth',-1.0597381650793647,0.9106037959373477,-0.25590652894073845,0.02171940263845248,2.0
'Bhoutan',1.9773731898949432,1.0,-0.18364867533745655,1.0,1.0
