index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.huffingtonpost.fr/politique/article/xenia-fedorova-figure-pro-russe-de-cnews-a-un-titre-de-sejour-de-10-ans-laurent-nunez-tente-de-s-expliquer_264309.html,https://www.huffingtonpost.fr/politique/article/xenia-fedorova-figure-pro-russe-de-cnews-a-un-titre-de-sejour-de-10-ans-laurent-nunez-tente-de-s-expliquer_264309.html,0,www.huffingtonpost.fr,"Xenia Fedorova, figure pro-russe de CNews a un titre de séjour de 10 ans, Laurent Nuñez tente de s’expliquer","Selon une enquête du « Monde », l’ex-directrice de la chaîne russe RT en France s’est vu accorder une carte de résident pour dix ans en 2024. Le gouvernement s’explique (et menace).",https://focus.huffingtonpost.fr/2026/06/01/53/0/1024/576/1820/1023/75/0/0b87dc5_upload-1-jjogfyicckah-afp-20250412-hl-mcohen-2734776-v1-midres-francebookfestivalfayard.jpg,2026-06-01T09:33:55Z,,À voir aussi sur Le HuffPost La lecture de ce contenu est susceptible dentraîner un dépôt de cookies de la part de lopérateur tiers qui lhéberge. Compte-tenu des choix que vous avez exprimés en matiè… [+3636 chars],,fr,'Kremlin'
https://www.20minutes.fr/monde/ukraine/4226559-20260601-guerre-ukraine-france-impitoyable-flotte-fantome-russie-rationne-kerosene,https://www.20minutes.fr/monde/ukraine/4226559-20260601-guerre-ukraine-france-impitoyable-flotte-fantome-russie-rationne-kerosene,0,www.20minutes.fr,"Guerre en Ukraine : La France impitoyable avec la « flotte fantôme », la Russie se rationne en kérosène","« 20 Minutes » fait le point pour vous tous les soirs sur le conflit en Ukraine. Ce lundi, Emmanuel Macron a annoncé l’arraisonnement d’un nouveau pétrolier russe suspecté d’appartenir à la « flotte fantôme »",https://img.20mn.fr/lELQTfqlRBCmM40WI8a27ik/1444x920_combo-cette-combinaison-de-photos-d-archives-creees-le-5-fevrier-2026-montre-le-president-russe-vladimir-poutine-sur-une-photo-de-piscine-diffusee-par-l-agence-publique-russe-spoutnik-a-saint-petersbourg-le-27-janvier-2026-l-et-le-president-francais-emmanuel-macron-a-l-elysee-a-paris-le-30-janvier-2026-vladimir-poutine-est-pret-a-recevoir-un-appel-de-son-homologue-francais-emmanuel-macron-pour-des-entretiens-serieux-a-declare-le-ministre-russe-des-affaires-etrangeres-serguei-lavrov-le-5-fevrier-2026-tout-en-qualifiant-de-diplomatie-pathetique-les-declarations-du-dirigeant-francais-concernant-une-eventuelle-reprise-du-dialogue-avec-moscou-photo-d-alexander-kazakov-et-ludovic-marin-sources-diverses-afp,2026-06-01T17:37:08Z,,"Vous avez raté les derniers événements sur la guerre en Ukraine ? 20 Minutes fait le point pour vous tous les soirs. Voici lessentiel de ce lundi 1er juin 2026, au 1.559e jour du conflit.
Le fait du… [+3147 chars]",,fr,'Russie'
