,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
ligne Revolut,ligne Revolut,LOC,0.10333333333333335,0.10833333333333334,fr,3,,,,,,,,,,
lOtan,lOtan,LOC,0.038253968253968255,0.25000000000000006,fr,3,,,,,,,,,,
Portugais,Portugais,LOC,0.03333333333333333,0.022222222222222223,fr,3,,,,,,,,,,
Cannes,Cannes,LOC,0.22685185185185186,0.14037037037037037,fr,3,,,,,,,,,,
Brise,Brise,LOC,0.09999999999999999,0.049999999999999996,fr,3,,,,,,,,,,
Pare,Pare,LOC,0.09999999999999999,0.049999999999999996,fr,3,,,,,,,,,,
Transnistrie,Transnistrie,LOC,0.14500000000000002,0.14166666666666666,fr,3,,,,,,,,,,
République Tchèque,République Tchèque,LOC,0.12416666666666666,0.25000000000000006,fr,3,,,,,,,,,,
Namur,Namur,LOC,-0.09349999999999999,0.1991666666666667,fr,3,,,,,,,,,,
Essyla,Essyla,LOC,0.119,0.21,fr,3,,,,,,,,,,
Starobelsk,Starobelsk,LOC,-0.08703703703703704,0.06481481481481481,fr,3,,,,,,,,,,
Zenith,Zenith,LOC,0.03833333333333334,0.25833333333333336,fr,3,,,,,,,,,,
Baltimore,Baltimore,LOC,0.12666666666666668,0.26666666666666666,fr,3,,,,,,,,,,
Belge,Belge,LOC,-0.019575757575757576,0.1651212121212121,fr,3,,,,,,,,,,
Carabanchel,Carabanchel,LOC,0.2125,0.19999999999999998,fr,3,,,,,,,,,,
l'Europe,l'Europe,LOC,0.013690476190476197,0.19103174603174608,fr,3,,,,,,,,,,
Ariège,Ariège,LOC,0.018888888888888896,0.09444444444444444,fr,3,,,,,,,,,,
Pacifique,Pacifique,LOC,0.07624999999999998,0.17500000000000002,fr,3,,,,,,,,,,
Crimée,Crimée,LOC,0.06357142857142858,0.047142857142857146,fr,3,,,,,,,,,,
EAU,EAU,LOC,0.15407407407407406,0.15444444444444444,fr,3,,,,,,,,,,
Iraniens,Iraniens,LOC,0.029523809523809532,0.10952380952380952,fr,3,,,,,,,,,,
Manhattan,Manhattan,LOC,0.1377777777777778,0.325,fr,3,,,,,,,,,,
Boutcha,Boutcha,LOC,0.0,0.0,fr,3,,,,,,,,,,
Gunners,Gunners,LOC,0.11744444444444446,0.3561111111111111,fr,3,,,,,,,,,,
Silicon Valley,Silicon Valley,LOC,0.09333333333333334,0.275,fr,3,,,,,,,,,,
Dynacor,Dynacor,LOC,0.15,0.0,fr,3,,,,,,,,,,
République tchèque,République tchèque,LOC,0.03333333333333334,0.05555555555555555,fr,3,,,,,,,,,,
Espagnol,Espagnol,LOC,-0.051888888888888894,0.08703703703703704,fr,3,,,,,,,,,,
Bonjour,Bonjour,LOC,0.15365079365079368,0.16984126984126982,fr,3,,,,,,,,,,
Louhansk,Louhansk,LOC,-0.018148148148148146,0.13703703703703704,fr,3,,,,,,,,,,
Russes,Russes,LOC,-0.02,0.09166666666666666,fr,3,,,,,,,,,,
Leipzig,Leipzig,LOC,-0.1075,0.2308333333333333,fr,3,,,,,,,,,,
grenache,grenache,LOC,0.07500000000000001,0.10000000000000002,fr,3,,,,,,,,,,
Chinois,Chinois,LOC,0.0027272727272727245,0.04848484848484849,fr,3,,,,,,,,,,
Zurich,Zurich,LOC,0.002666666666666669,0.12933333333333333,fr,3,,,,,,,,,,
Dnipro,Dnipro,LOC,0.008888888888888896,0.2222222222222222,fr,3,,,,,,,,,,
Taipei,Taipei,LOC,0.28722222222222227,0.2555555555555556,fr,3,,,,,,,,,,
CA,CA,LOC,0.1136666666666667,0.22569444444444445,fr,3,,,,,,,,,,
Africains,Africains,LOC,0.05370370370370369,0.09791666666666667,fr,3,,,,,,,,,,
Sète,Sète,LOC,0.30874999999999997,0.29375,fr,3,,,,,,,,,,
Hérault,Hérault,LOC,0.21402777777777773,0.16458333333333336,fr,3,,,,,,,,,,
Sahel,Sahel,LOC,-0.07145238095238095,0.8162500000000001,fr,3,,,,,,,,,,
Britanniques,Britanniques,LOC,0.08909722222222224,0.09583333333333334,fr,2,,,,,,,,,,
Escale,Escale,LOC,0.30874999999999997,0.29375,fr,2,,,,,,,,,,
Darmanin,Darmanin,LOC,-0.000454545454545454,0.1931818181818182,fr,2,,,,,,,,,,
Amérique du Nord,Amérique du Nord,LOC,0.00027777777777777783,0.07083333333333333,fr,2,,,,,,,,,,
Ebola,Ebola,LOC,0.10750000000000001,0.12000000000000001,fr,2,,,,,,,,,,
Stade Verviétois,Stade Verviétois,LOC,0.08,0.33749999999999997,fr,2,,,,,,,,,,
Jens,Jens,LOC,0.4714285714285714,0.2714285714285714,fr,2,,,,,,,,,,
de Besançon,de Besançon,LOC,0.28500000000000003,0.375,fr,2,,,,,,,,,,
Doubs,Doubs,LOC,0.28500000000000003,0.375,fr,2,,,,,,,,,,
Haut-commissariat des,Haut-commissariat des,LOC,0.09000000000000001,0.0,fr,2,,,,,,,,,,
